,question,A,B,C,D,true_answer,predict_answer,predict_data,tag
92,The IO function includes a requirement to coordinate the flow of traffic between internal resources and external devices.,cycle,status reporting,control and timing,data,C,C,"['control time requirement', 'link use exchange control status data io module external device', 'manage data transfer memory external device', 'io move data computer external environment', 'io device require specific set instruc tions control signal operation', 'control signal', 'data receive deliver device directly connect computer process know input output io', 'data need tag io system prioritize flow throughout platform', 'data buffer io module send peripheral device data rate']",1
93,"An IO module that takes on most of the detailed processing burden, presenting a highlevel interface to the processor, is usually referred to as an .",IO channel,IO command,IO controller,device controller,A,A,"['io channel io processor', 'io channel', 'io controller device controller', 'device give unique identifier address', 'io module', 'peripheral device', 'processor memory io module unique priority', 'io processor', 'io command execute iorelated instruction processor issue address']",1
94,An IO module that is quite primitive and requires detailed control is usually referred to as an .,IO command,IO controller,IO channel,IO processor,B,B,"['io controller device controller', 'io controller', 'io controller', 'io controller device controller', 'io channel', '7 3 program io three', 'processor', 'interface io module form control data status signal', 'responsible error detection subse quently report error processor', 'controller', 'controller', 'arbitration io module temporarily function master']",1
95,The command causes the IO module to take an item of data from the data bus and subsequently transmit that data item to the peripheral.,control,test,read,write,D,D,"['write', 'write', 'read', 'control signal request permission send data', 'data module data register module signal interrupt processor control line', 'write', 'control signal', 'iow write peripheral', 'processor read word data io module store memory', 'write data', 'one module wish request data another module must 1 obtain use bus 2 transfer request module appropriate control address line', 'direct memory access dma form io special module call dma module control exchange data main memory io module cpu send request transfer block data dma module interrupt entire block transfer']",1
96,The command is used to activate a peripheral and tell it what to do.,control,test,read,write,A,A,"['control', 'tailor particular type peripheral device test', 'cause next job read another portion main memory', 'cpu directly control peripheral device', 'processor u control line issue command io module', 'control signal', 'control circuitry interpret opcode execute instruction send appropriate control signal cause data move operation perform alu', 'read cause io module obtain item data peripheral place internal buffer', 'control pas job', 'request control function', 'control signal gate perform function data input produce data output', '82c55a programmable via control register']",1
97,is when the DMA module must force the processor to suspend operation temporarily.,Interrupt,Thunderbolt,Cycle stealing,Lock down,C,C,"['cycle steal', 'transfer complete dma module send interrupt signal processor thus processor involve begin end transfer', 'interrupt', 'interrupt', 'interrupt pending', 'interrupt entire block transfer', 'transfer complete dma module send interrupt signal processor thus processor involve begin end transfer figure', 'disable interrupt', 'without use interrupt command issue', 'interrupt handler routine complete interrupt enable resume user program processor check see additional interrupt occur', 'interrupt']",1
98,The 8237 DMA is known as a DMA controller.,command,cycle stealing,interrupt,flyby,D,D,"['flyby', 'cpu finish present bus cycle necessarily present instruc tion respond dma request put high hdla hold acknowledge thus tell 8237 dma go ahead use bus perform task']",1
99,"is a digital display interface standard now widely adopted for computer monitors, laptop displays, and other graphics and video interfaces.",DisplayPort,PCI Express,Thunderbolt,InfiniBand,A,A,"['displayport', 'pci', 'thunderbolt', 'displayport', 'target channel adapter tca tca use connect storage system router peripheral device infiniband switch']",1
100,The layer is the key to the operation of Thunderbolt and what makes it attractive as a highspeed peripheral IO technology.,cable,application,common transport,physical,C,C,"['common transport layer', 'common transport layer', 'one thunderbolt cable manage work previously require multiple cable technology combine data video audio power', 'common transport layer', 'thunderbolt protocol physical layer responsible link maintenance', 'thunderbolt protocol physical layer responsible link maintenance', 'cable connector layer provide transmission medium access']",1
101,The Thunderbolt protocol layer is responsible for link maintenance including hotplug detection and data encoding to provide highly efficient data transfer.,cable,application,common transport,physical,D,D,"['thunderbolt protocol physical layer', 'thunderbolt protocol physical layer']",1
102,The contains IO protocols that are mapped on to the transport layer.,cable,application,common transport,physical,B,B,"['application layer', 'contain io protocol map transport layer', 'contain io protocol map transport layer', 'contain io protocol map transport layer']",1
103,"A is used to connect storage systems, routers, and other peripheral devices to an InfiniBand switch.",target channel adapter,InfiniBand switch,host channel adapter,subnet,A,A,"['target channel adapter tca tca', 'channel adapter', 'infiniband remote storage network connection server accomplish attach device central fabric switch link', 'infiniband enable server remote storage network device attach central fabric switch link', 'infiniband multiplexors', 'infiniband switch switch', 'allow external drive network adapter peripheral plug', 'infiniband remote storage network connection server accomplish attach device central fabric switch link', 'pcie switch connect number io device controller typical example zenterprise 196 1gbps 10gbps ethernet fiber channel', 'host channel adapter hca fanout']",1
104,"A connects InfiniBand subnets, or connects an InfiniBand switch to a network such as a local area network, wide area network, or storage area network.",memory controller,TCA,HCA,router,D,D,"['router', 'router']",1
105,The is a program that controls the execution of application programs and acts as an interface between applications and the computer hardware.,job control language,operating system,batch system,nucleus,B,B,"['system software', 'privilege operate system program', 'machine language machine code', 'special type program language use provide instruction monitor']",1
106,Facilities and services provided by the OS that assist the programmer in creating programs are in the form of programs that are not actually part of the OS but are accessible through the OS.,utility,multitasking,JCL,logical address,A,A,"['utility program', 'utility', 'utility']",1
107,The defines the repertoire of machine language instructions that a computer can follow.,ABI,API,HLL,ISA,D,D,['isa isa'],1
108,The defines the system call interface to the operating system and the hardware resources and services available in a system through the user instruction set architecture.,HLL,API,ABI,ISA,C,C,"['abi', 'isa', 'abi', 'application program interface api']",1
109,The gives a program access to the hardware resources and services available in a system through the user instruction set architecture supplemented with highlevel language library calls.,JCL,ISA,ABI,API,D,D,"['api', 'abi', 'isa']",1
110,A system works only one program at a time.,batch,uniprogramming,kernel,privileged instruction,B,B,"['uniprogramming system', 'instruction single thread issue single cycle', 'assume program execute eight parallel task thread roughly equal number instruction execute task', 'two program take turn single instruction first program execute single instruction second', 'two program take turn single instruction first program execute single instruction second']",1
111,A is a special type of programming language used to provide instructions to the monitor.,job control language,multiprogram,kernel,utility,A,A,"['special type program language use provide instruction monitor simple example user submit program write fortran', 'microprogramming language', 'special type program language', 'special type program language', 'system control system control instruction', 'assembly language', 'instruction set programmer mean control processor']",1
112,The scheduler determines which programs are admitted to the system for processing.,longterm,mediumterm,shortterm,IO,A,A,"['longterm schedule', 'add queue mediumterm scheduler']",1
113,The scheduler is also known as the dispatcher.,longterm,mediumterm,shortterm,IO,C,C,"['shortterm scheduler also know dispatcher', 'longterm schedule', 'shortterm scheduler']",1
114,A is an actual location in main memory.,logical address,partition address,base address,physical address,D,D,"['physical address', 'unique address', 'address', 'unique address', 'actual map physical address', 'actual map physical address', 'memory address register mar', 'io use another main virtual memory address', 'physical address', 'address', 'remain address mode reference location memory memory location must specify term segment', 'physical address', 'assume main memory initially empty 8 10 vax computer user page table locate virtual address system space']",1
115,is when the processor spends most of its time swapping pages rather than executing instructions.,Swapping,Thrashing,Paging,Multitasking,B,B,['thrash'],1
116,Virtual memory schemes make use of a special cache called a for page table entries.,TLB,HLL,VMC,SPB,A,A,"['translation lookaside buffer tlb', 'virtual memory mechanism must interact cache system tlb cache main memory cache', 'translation lookaside buffer tlb']",1
117,With the virtual address is the same as the physical address.,unsegmented unpaged memory,unsegmented paged memory,segmented unpaged memory,segmented paged memory,A,A,"['physical address actual location main memory', 'actual map physical address function memory management unit mmu invisible programmer', 'translate virtual real memory address', 'read write main memory hardware memory management unit mmu translate virtual address physical address main memory', 'preindex memory address form way offset address ing', 'sum start address segment effective address produce linear address', 'page use linear address must pa page translation mechanism', 'actual map physical address function memory management unit mmu invisible programmer', 'location main memory unique address main memory usually extend higherspeed smaller cache']",1
118,A is a collection of memory regions.,APX,nucleus,domain,page table,C,C,"['domain', 'domain']",1
119,The OS maintains a for each process that shows the frame location for each page of the process.,kernel,page table,TLB,logical address,B,B,"['page table', 'page table', 'page frame', 'average number second page frame system go untouched', 'process reference five page', 'page table structure basic mechanism read word memory involve translation virtual logical address consist page number offset physical address consist frame number offset use page table', 'page frame address', 'page table', 'convention indicate address mode', '8 must page process main memory contiguous', '9 necessary page process main memory sequential order', 'page table', 'virtual address space hold process image']",1
120,A is an electronic circuit that produces an output signal that is a simple Boolean operation on its input signals.,gate,decoder,counter,flipflop,A,A,"['gate', 'gate', 'network gate', 'network gate', 'decoder', 'control signal gate', 'gate', 'gate', 'decoder decoder']",1
121,For more than four variables an alternative approach is a tabular technique referred to as the method.,DeMorgan,QuineMcCluskey,Karnaugh map,BooleShannon,B,B,"['quinemccluskey method', 'quinemccluskey method']",1
122,are used in digital circuits to control signal and data routing.,Multiplexers,Program counters,Flipflops,Gates,A,A,"['multiplexer', 'control signal gate', 'transistor exploit property semiconductor small voltage apply gate use control flow large current source drain', 'control status register use control unit control operation processor privilege operate system program control execution program', 'control signal label load control write register signal line d11 d18 line might output multiplexer']",1
123,is implemented with combinational circuits.,Nano memory,Random access memory,Read only memory,No memory,C,D,['readonly memory rom'],0
124,"The exists in one of two states and, in the absence of input, remains in that state.",assert,complex PLD,decoder,flipflop,D,D,['flipflop circuit device contain active element'],1
125,The flipflop has two inputs and all possible combinations of input values are valid.,JK,D,SR,clocked SR,A,A,"['jk flipflop', 'like sr flipflop', 'jk flipflop']",1
126,A accepts andor transfers information serially.,SR latch,shift register,FPGA,parallel register,B,B,"['shift register', 'uservisible register']",1
127,Counters can be designated as .,asynchronous,synchronous,both asynchronous and synchronous,neither asynchronous or synchronous,C,C,"['asynchronous synchronous', 'asynchronous synchronous']",1
128,"CPUs make use of counters, in which all of the flipflops of the counter change at the same time.",synchronous,asynchronous,clocked SR,timed ripple,A,A,"['synchronous counter', 'synchronous counter', 'synchronous', 'synchronous', 'asynchronous', 'synchronous counter', 'synchronous counter', 'use flipflops respond transi tion clock pulse rather pulse provide better time control complex circuit', 'sr flipflop', 'asynchronous synchronous']",1
129,A is a PLD featuring a general structure that allows very high logic capacity and offers more narrow logic resources and a higher ration of flipflops to logic resources than do CPLDs.,SPLD,FPGA,PAL,PLA,B,B,"['fieldprogrammable gate array fpga', 'fieldprogrammable gate array fpga', 'programmable logic array pla relatively small pld contain two level logic andplane orplane level programmable programmable array logic pal', 'fpga', 'fpga', 'programmable logic array pla introduce perhaps important widely use type pld fieldprogrammable gate array fpga']",1
130,The specifies the operation to be performed.,source operand reference,opcode,next instruction reference,processor register,B,B,"['modify line another processor attempt read line follow ing action occur 1 line content transfer modify line processor initiate read', 'execute interpret opcode perform indicate operation', 'execute instruction ei perform indicate operation', 'one operation two source operand one result operand', 'instruction operation decode iod analyze instruction', 'io device instruction must specify io module device', 'io device instruction must specify io module device', 'operand']",1
131,An expresses operations in a concise algebraic form using variables.,opcode,highlevel language,machine language,register,B,B,"['highlevel language express operation concise alge braic form use variable', 'opcode abbreviate form operation code operand', 'assembly language element statement', 'movement data register']",1
132,There must be instructions for moving data between memory and the registers.,branch,logic,memory,IO,C,C,"['memory instruction mov ing data memory register', 'register versus memory machine must register data bring processor process', 'different instruction register register register memory memory register memory memory transfer', 'io instruction need transfer program data memory result computation back user', 'memory buffer register', 'store multiple instruction store subset possibly generalpurpose register memory list register load store specify 16bit field instruction bite', 'memory address register mar register process unit contain address storage location access', 'device stag movement data main memory processor register', 'memory address register mar', 'allocation control information register memory', 'processor must least two register store memory value', 'store main memory', 'register toregister operation vector quantity must load vector register prior computation store memory afterward', 'local variable must save register memory register reuse call procedure', 'machine instruction need include memory reference implicitly operate top stack']",1
133,"instructions operate on the bits of a word as bits rather than as numbers, providing capabilities for processing any other type of data the user may wish to employ.",Logic,Arithmetic,Memory,Test,A,A,"['logic boolean', 'basic unit access bite logical organization resemble logic device', 'use ham al gorithm determine check bite would store memory data word']",1
134,instructions provide computational capabilities for processing number data.,Boolean,Logic,Memory,Arithmetic,D,D,"['process data execution instruction may require perform arithmetic logical operation data', 'many machine provide arithmetic instruction perform operation directly pack decimal number', 'arithmetic', 'arithmetic', 'use multiword arithmetic operation equal set logical compare result equality overflow', 'arithmetic', 'computer arithmetic commonly perform two different type number integer float point']",1
135,instructions are needed to transfer programs and data into memory and the results of computations back out to the user.,IO,Transfer,Control,Branch,A,A,"['io', 'io', 'interrupt io', 'oneword io transfer require processor execute two instruction', 'data write transfer cache write buffer']",1
136,"The x86 data type that is a signed binary value contained in a byte, word, or doubleword, using twos complement representation is .",general,ordinal,integer,packed BCD,C,C,"['integer', 'two complement sign integer', 'ordinal', 'positive integer', 'positive integer', 'sign integer', 'two complement sign integer', 'integer', 'sign integer', 'positive integer represent way sign magnitude']",1
137,The most fundamental type of machine instruction is the instruction.,conversion,data transfer,arithmetic,logical,B,C,"['arithmetic', 'operand use typical machine instruction set present overview x86 arm data type describe type operand support']",0
138,The instruction includes an implied address.,skip,rotate,stack,push,A,A,"['skip instruction include imply address typically skip imply one instruction skip thus imply address equal address next instruction plus one instruction length', 'skip imply one instruction skip thus imply address equal address next instruction plus one instruction length']",1
139,Which of the following is a true statement,a procedure can be called from more than one location,a procedure call can appear in a procedure,each procedure call is matched by a return in the called program,all of the above,D,C,"['follow sequence statement b 1 assembly language 705 control point call', 'equivalent statement precede one mov eax 100000000b mov eax 256']",0
140,"The entire set of parameters, including return address, which is stored for a procedure invocation is referred to as a .",branch,stack frame,pop,push,B,B,"['stack frame', 'return stack use pre dict subroutine return address return stack eight 32bit entry store link register value r14 arm thumb state call function', 'three common place store return address register start call procedure top stack', 'stack frame next store pointer begin previous frame']",1
141,"Which ARM operation category includes logical instructions AND, OR, XOR, add and subtract instructions, and test and compare instructions",dataprocessing instructions,branch instructions,load and store instructions,extend instructions,A,A,"['dataprocessing instruction', 'parallel addition subtraction instruction addition normal data process multiply instruction set parallel addition subtraction instruction portion two operand operate parallel', 'load store instruction', 'singleoperand instruction', 'add subtract instruction test compare instruction', 'x86 arm instruction format', 'thumb instruction 32bit arm instruction', 'logical instruction xor add subtract instruction test compare instruction', 'add subtract instruction test compare instruction', 'add subtract instruction test compare instruction', 'composite instruction', 'multicycle instruction', 'add subtract instruction test compare instruction', 'logical instruction xor add subtract instruction test compare instruction', 'logical instruction xor add subtract instruction test compare instruction', 'add subtract instruction test compare instruction', 'instruction branch instruction']",1
142,In the ARM architecture only instructions access memory locations.,data processing,status register access,load and store,branch,C,C,"['simple load store instruction reference memory', 'memory instruction mov ing data memory register', 'memory address register mar', 'instruction access memory location', 'let average access time', 'arm architecture instruction access memory location', '1 loadstore address load store instruction', 'instruction access memory location', 'thread one core access main memory location', 'main memory access', 'arm architecture instruction access memory location']",1
143,Which data type is defined in MMX,packed byte,packed word,packed doubleword,all of the above,D,A,"['pack byte b pack word', 'data data field 4096 byte may include tlp']",0
144,A branch instruction in which the branch is always taken is .,conditional branch,unconditional branch,jump,biendian,B,B,"['unconditional branch', 'cannot execute branch execute', 'assume branch take', 'long succeed conditional branch instruction encounter take', 'delay branch', 'always assume branch take always fetch branch tar get', 'use branch different set instruction depend decision make', 'instruction branch branch target virtual address calculate branch condition check', '11 branch take determine end time unit 7', 'conditional instruction', 'branch take target already prefetched', 'conditional branch instruction', 'conditional branch instruction', 'conditional branch branch make dependent condition', 'additional branch instruction may enter pipeline either stream original branch decision resolve', 'branch determine 4bit condition field instruction', 'branch']",1
145,The advantage of is that no memory reference other than the instruction fetch is required to obtain the operand.,direct addressing,immediate addressing,register addressing,stack addressing,B,B,"['immediate address', 'explicit reference need main memory virtual memory address must supply', 'main vir tual memory address must supply', 'indirect address require make one memory access get address another operand memory', 'machine instruction need include memory reference implicitly operate top stack', 'calculation must perform operand reference instruction determine main virtual memory address', 'fewer operand andor le powerful address', 'indirect address', 'require contain four address reference two source operand one destination operand address next instruction']",1
146,The principal advantage of addressing is that it is a very simple form of addressing.,displacement,register,stack,direct,D,D,"['direct address', 'simple address mode almost risc instruction use simple register address', 'displacement relative address instruction', 'indirect address direct address length address field usually le word length', 'register', 'displacement address', '18bit address field make direct address desirable', 'machine instruction need include memory reference implicitly operate top stack', 'system without virtual memory effective address either main memory address register']",1
147,"has the advantage of large address space, however it has the disadvantage of multiple memory references.",Indirect addressing,Direct addressing,Immediate addressing,Stack addressing,A,A,"['disadvantage valuable memory address space use', 'address space range address memory io reference', 'application see virtual memory start address 0', 'obvious advantage approach word length n address space 2n available disadvantage instruction execution require two mem ory reference fetch operand one get address second get value', 'disadvantage register address address space limit', 'large address space however disadvantage multiple memory reference']",1
148,The advantages of addressing are that only a small address field is needed in the instruction and no timeconsuming memory references are required.,direct,indirect,register,displacement,C,C,"['register address', 'baseregister address baseregister address interpretation follow reference register contain main memory address address field contain displacement usually unsigned integer representation address', 'indirect address direct address length address field usually le word length']",1
149,"has the advantage of flexibility, but the disadvantage of complexity.",Stack addressing,Displacement addressing,Direct addressing,Register addressing,B,D,[],0
150,"For , the address field references a main memory address and the referenced register contains a positive displacement from that address.",indexing,baseregister addressing,relative addressing,all of the above,A,B,"['index index interpretation typically follow address field reference main memory address reference register contain positive displacement address note usage opposite interpretation baseregister address', 'baseregister address baseregister address interpretation follow reference register contain main memory address address field contain displacement usually unsigned integer representation address', 'address field indicate start memory address read', 'reference register contain positive displacement address', 'implicit reference base opcode refer register whose content add produce effective address', 'positive displacement address', 'address field reference main memory address reference register contain positive displacement address', 'positive displacement address', 'address range address reference memory range address reference relate number address bite', 'positive displacement address', 'positive displacement address', 'reference register contain positive displacement address', 'address field reference main memory address reference register contain positive displacement address', 'displacement address ea r displacement address require instruction two address field least one explicit value contain one address field value use directly address field implicit reference base opcode refer register whose content add', 'address field refer register', 'refer address location memory r refer particular register']",0
151,Indexing performed after the indirection is .,relative addressing,autoindexing,postindexing,preindexing,C,D,"['preindexing', 'indirect address allow generalpurpose register also use index register index register memory address 0 8 9 12 14 17 18 35 indirect bite', 'prior execution computer instruction index technique address modification mean index register', 'technique address modification mean index register index register register whose content use modify operand address execu tion computer instruction', 'register address e register indirect address 13', 'increment decrement index register 458 chapter 13 instruction set address mode', 'autoindexing form index address index register automatically incremented decremented memory reference', 'mode address', 'offset address method index use']",0
152,"For the mode, the operand is included in the instruction.",immediate,base,register,displacement,A,A,"['immediate mode', 'register operand mode operand locate register', 'immediate value operand contain field instruction execute', 'operand 1 field may depend mode field content specify one 16 generalpurpose register', 'instead operand register remain use multiple operation', 'general location memory register operand indicate either specifica tion opcode operand', 'register memory part operand']",1
153,The only form of addressing for branch instructions is addressing.,register,relative,base,immediate,D,D,"['immediate address', 'immediate address', 'relative address', 'effective address displacement relative address instruction', 'immediate address', 'calculation address branch instruction also overlap instruction decode register fetch branch instruction address icache access instruction 2', 'loadstore address load store instruction instruction reference memory always indirectly base register plus offset']",1
154,Which of the following interrelated factors go into determining the use of the addressing bits,number of operands,number of register sets,address range,all of the above,D,C,"['instruction set address mode format', 'ignore translation virtual physical address', 'relationship length bite address number n addressable unit', 'address range address reference memory range address reference relate number address bite', 'significant bite bite seven bite field operand specify 1 base address select one byte memory 2 bite field offset indicate leftmost base bite bite field relation significant bite base byte 3 bite field width', 'address line', 'set bite specify one n 2d set bite tag set field specify one 2 block main memory', 'number address able unit number block main memory number line cache size tag', 'number addressable unit number block main memory number line cache size tag', 'three bite identify register remain 3 bite identify address mode', 'db bite code segment bite indicate whether operand address mode 16 32 bite', 'address granularity', 'entry descriptor associate 1mb virtual address range', 'architectural attribute include instruction set number bite use represent various data type e g number character io mechanism technique address memory']",0
155,is a principle by which two variables are independent of each other.,Opcode,Orthogonality,Completeness,Autoindexing,B,B,['orthogonality'],1
156,The was designed to provide a powerful and flexible instruction set within the constraints of a 16bit minicomputer.,PDP1,PDP8,PDP11,PDP10,C,C,['pdp11 pdp11'],1
157,"The byte consists of three fields the Scale field, the Index field and the Base field.",SIB,VAX,PDP11,ModRM,A,D,['modrm byte'],0
158,All instructions in the ARM architecture are bits long and follow a regular format.,8,16,32,64,C,C,"['arm instruction format instruction arm architecture 32 bite long follow regular mat figure 13 10', '16 bite long']",1
159,is a design principle employed in designing the PDP10 instruction set.,Orthogonality,Completeness,Direct addressing,All of the above,D,A,"['follow bell78c orthogonality orthogonality', 'one use stack pointer spe cialpurpose stack operation one use program counter con tains address next instruction', 'bell78c orthogonality orthogonality', 'number address per instruction']",0
160,are a set of storage locations.,Processors,PSWs,Registers,Control units,C,C,"['internal e g processor register cache main memory external', 'box represent functional hardware unit storage unit', 'parallel register', 'control storage', 'call register']",1
161,The controls the movement of data and instructions into and out of the processor.,control unit,ALU,shifter,branch,A,A,"['control unit', 'u control signal', 'control unit', 'control return monitor', 'control pas interrupthandling program', 'control unit', 'io processor take care task involve control terminal', 'data movement path among component use move data memory memory memory gate memory control path among component carry control signal', 'control transfer data external device processor', 'control unit', 'control circuitry', 'control status register']",1
162,registers may be used only to hold data and cannot be employed in the calculation of an operand address.,General purpose,Data,Address,Condition code,B,B,"['data register', 'virtual memory address', 'eight data register use primarily data manipulation also use address index register', 'data oper ations register register memory reference pure loadstore operation', 'register use store data use store address displacement address', 'generalpurpose register register usually explicitly addressable within set register use different purpose', 'data operation perform operation indicate instruction', 'type x86 instruction also hold operand address calculation', 'instructionset format allow one register specify operand address operand', 'data register use general purpose instruction others register use implicitly', 'memory address']",1
163,are bits set by the processor hardware as the result of operations.,MIPS,Condition codes,Stacks,PSWs,B,B,"['condition code', '1bit multiplebit con dition code', 'program processor code load via input device', '22 indicate condition processor help control operation include six condition code define table 12 9 carry parity auxiliary zero sign overflow', 'operation specify binary code']",1
164,The contains the address of an instruction to be fetched.,instruction register,memory address register,memory buffer register,program counter,D,D,"['real address virtual address', 'immediate address', 'loop buffer contain instruction sequentially ahead current instruction fetch address', 'indirect address', 'direct address', 'indirect address involve require operand fetch use indirect address', 'one 8 16 32bit register', 'branch take fetch instruction must discard new instruction fetch', 'address field contain effective address operand', 'instruction pointer', 'instruction address register', 'data virtual address calculate', 'program counter pc', 'contain fulllength address operand', 'f2 send physical address instruction address', 'jump instruction fetch time 2 add instruction fetch time 3', 'branch instruction', 'program counter', 'third field contain address target instruction', 'program counter pc']",1
165,The contains a word of data to be written to memory or the word most recently read.,MAR,PC,MBR,IR,C,C,"['memory buffer register mbr', 'memory address register mar']",1
166,The determines the opcode and the operand specifiers.,decode instruction,fetch operands,calculate operands,execute instruction,A,A,"['decode instruction di', 'generalpurpose register contain operand', 'opcode operand instruction issue', 'general location memory register operand', 'operand', 'use opcode determine format instruction location length various field instruction', 'instruction format must include opcode implicitly explicitly zero operand', 'second field contain threeletter symbol opcode memoryreferencing instruction third field contain address', 'operand specifier minimum 1byte format leftmost 4 bite address mode specifier', 'oac operation involve reference operand memory available via io determine address operand', 'operand byte word doubleword data', 'execute', 'symbol use operand enter symbol table', 'operand 2 field zero original opcodes take new mean', 'first constant value one byte may immediately follow first byte operand specifier', 'operand specifier often consist one byte rightmost 4 bite specify one 16 generalpurpose register']",1
167,is a pipeline hazard.,Control,Resource,Data,All of the above,D,B,"['control hazard control hazard also know branch hazard occur pipeline make wrong decision branch prediction', 'resource hazard', 'wait multiply unit branch resource hazard one branch per cycle', 'control hazard next 1 add eax ebx clock cycle fi sub ecx eax i3 i4 2 3 4 5 6 7 8 9 10 di fo ei wo fi di idle fo ei wo fi di fo ei wo fi di fo ei wo figure 14']",0
168,A hazard occurs when there is a conflict in the access of an operand location.,resource,data,structural,control,B,B,"['data hazard', 'resource hazard']",1
169,"A is a small, veryhighspeed memory maintained by the instruction fetch stage of the pipeline and containing the n most recently fetched instructions in sequence.",loop buffer,delayed branch,multiple stream,branch prediction,A,A,"['loop buffer', 'long buffer full', 'prefetch buffer', 'branch history table']",1
170,The is a small cache memory associated with the instruction fetch stage of the pipeline.,dynamic branch,loop table,branch history table,flag,C,C,"['branch history table', 'loop buffer loop buffer', 'instruction fetch stage include branch prediction use form dynamic stream instruction', 'loop buffer', 'branch history table', 'fetch stage fetch next instruction memory branch instruction']",1
171,"The stage includes ALU operations, cache access, and register update.",decode,execute,fetch,write back,B,B,"['execute', 'fix field opcode decode register operand access occur simultaneously', 'f1 calculate address use fetch instruction l1 instruction cache parallel fetch address use access branch prediction array determine next fetch address base branch prediction', 'instruction cache tag check make operand fetch register file']",1
172,The ARM architecture supports execution modes.,2,8,11,7,D,D,"['seven execution mode', 'seven type exception', 'seven execution mode', '2 x86 arm address mode', '8']",1
173,The OS usually runs in .,supervisor mode,abort mode,undefined mode,fast interrupt mode,A,A,['exception mode'],1
174,"The Patterson study examined the dynamic behavior of programs, independent of the underlying architecture.",HLL,RISC,CISC,all of the above,A,D,[],0
175,which is the fastest available storage device.,Main memory,Cache,Register storage,HLL,C,C,"['register storage', 'logical data memory', 'cache memory', 'flash memory flash memory type semiconductor memory around num ber year use many consumer electronic product include smart phone gps device mp3 player digital camera usb device', 'main memory', 'external memory', 'flash memory']",1
176,The first commercial RISC product was .,SPARC,CISC,VAX,the Pyramid,D,D,"['pyramid raga83', 'cisc v risc', 'sparc implementation k register window number n physical register']",1
177,instructions are used to position quantities in registers temporarily for computational operations.,Loadandstore,Window,Complex,Branch,A,A,"['loadandstore', 'loadandstore', 'status flag bite special register may set certain operation use conditional branch instruction']",1
178,Which stage is required for load and store operations,I,E,D,all of the above,D,D,[],0
179,The instruction location immediately following the delayed branch is referred to as the .,delay load,delay file,delay slot,delay register,C,C,"['delay slot', 'instruction represent btb address instruction load entry btb']",1
180,"A tactic similar to the delayed branch is the , which can be used on LOAD instructions.",delayed load,delayed program,delayed slot,delayed register,A,A,"['delay load', 'delay branch way increase efficiency pipeline make use branch take effect execution follow instruction hence term delay instruction location immediately follow branch refer delay slot', 'reorder instruction one subsequent instruction depend memory load begin flow pipeline', 'instruction location immediately follow branch refer delay slot', 'chance alter program counter', 'instruction thread execute successively event occur may cause delay cache miss event induce switch another thread', 'delay branch', 'delay branch', 'delay branch', 'delay branch']",1
181,All MIPS R series processor instructions are encoded in a single word format.,4bit,8bit,16bit,32bit,D,D,"['9 list basic instruction set mips r series processor processor instruction encode single 32bit word format', 'single 32bit instruction length', 'one 32bit word']",1
182,"A architecture is one that makes use of more, and more finegrained pipeline stages.",parallel,superpipelined,superscalar,hybrid,B,B,"['superpipelined', 'superpipelined', 'superpipelined', 'superscalar', 'superpipelined processor', 'superscalar organization']",1
183,The R4000 can have as many as instructions in the pipeline at the same time.,8,10,5,3,A,D,"['eight instruc tions', 'three']",0
184,SPARC refers to an architecture defined by .,Microsoft,Apple,Sun Microsystems,IBM,C,C,"['sun microsystems', 'sun sparc architecture describe section 15 7']",1
185,The R4000 pipeline stage where the instruction result is written back to the register file is the stage.,write back,tag check,data cache,instruction execute,A,A,"['decode stage pipeline first execute stage', 'result write back register file end execution pipeline', 'data memory reference', 'r4000 pipeline stage instruction result write back register file', 'precede execute stage', 'load next instruction sequence instruction 4 proceed', 'instruction fetch stage exe cutememory stage', 'r4000 pipeline stage instruction result write back register file', 'r4000 pipeline stage instruction result write back register file', 'first stage pas buffer instruction', 'replay signal issue instruction retrieve replay queue reenter pipeline']",1
186,The superscalar approach can be used on architecture.,RISC,CISC,neither RISC nor CISC,both RISC and CISC,D,D,"['risc cisc architecture', 'cisc machine']",1
187,The essence of the approach is the ability to execute instructions independently and concurrently in different pipelines.,scalar,branch,superscalar,flow dependency,C,C,"['superscalar', 'superscalar', 'superscalar approach depend ability execute multiple instruction parallel', 'superscalar architecture replicate pipeline stage two instruction stage pipeline process simultaneously', 'dependency two instruction fetch execute parallel', 'superscalar', 'superscalar multiple pipeline construct replicate execution resource', 'speculative execution execution instruction along one path branch', 'superscalar approach depend ability execute multiple instruction parallel', 'let p probability encounter conditional unconditional branch instruction let q probability execution branch instruction cause jump nonconsecutive address']",1
188,Which of the following is a fundamental limitation to parallelism with which the system must cope,procedural dependency,resource conflicts,antidependency,all of the above,D,D,"['john91 list five limitation true data dependency procedural dependency resource conflict output dependency antidependency', 'discus dependency resource conflict']",1
189,The situation where the second instruction needs data produced by the first instruction to execute is referred to as .,true data dependency,output dependency,procedural dependency,antidependency,A,A,['fetch data'],1
190,The instructions following a branch have a on the branch and cannot be executed until the branch is executed.,resource dependency,procedural dependency,output dependency,true data dependency,B,B,['procedural dependency'],1
